Date,prc,vol,ret,ret_cum
2016-11-18,110.06,28428917,0.0010004547521600404,1.0447081158044609
2016-11-21,111.73,29264571,0.015173541704524895,1.0605600379686755
2016-11-22,111.8,25965534,6.265103374205605e-4,1.061224489795918
2016-11-23,111.23,27426394,-0.005098389982110874,1.0558139534883717
2016-11-25,111.79,11475922,0.005034612964128327,1.0611295681063118
2016-11-28,111.57,27193983,-0.001967975668664579,1.059041290934978
2016-11-29,111.46,28528750,-9.85928116877255e-4,1.0579971523493112
2016-11-30,110.52,36162258,-0.008433518751121416,1.0490745135263404
2016-12-01,109.49,37086862,-0.009319580166485708,1.0392975794969146
2016-12-02,109.9,26527997,0.0037446342131701726,1.0431893687707636
2016-12-05,109.11,34324540,-0.007188353048225737,1.0356905552918836
2016-12-06,109.95,26195462,0.007698652735771194,1.043663977218794
2016-12-07,111.03,29998719,0.00982264665757171,1.0539155196962502
2016-12-08,112.12,27068316,0.009817166531568056,1.0642619838633123
2016-12-09,113.95,34402627,0.016321798073492655,1.081632653061224
2016-12-12,113.3,26374377,-0.005704256252742512,1.0754627432368291
2016-12-13,115.19,43733811,0.0166813768755516,1.0934029425723772
2016-12-14,115.19,34031834,0,1.0934029425723772
2016-12-15,115.82,46524544,0.005469224759093727,1.09938300901756
2016-12-16,115.97,44351134,0.0012951131065446209,1.100806834361651
2016-12-19,116.64,27779423,0.005777356212813611,1.107166587565258
2016-12-20,116.95,21424965,0.002657750342935472,1.1101091599430464
2016-12-21,117.06,23783165,9.405728943994163e-4,1.1111532985287131
2016-12-22,116.29,26085854,-0.00657782333845891,1.1038443284290453
2016-12-23,116.52,14249484,0.0019778140854758153,1.106027527289985
2016-12-27,117.26,18296855,0.006350841057329193,1.1130517323208344
2016-12-28,116.76,20905892,-0.004264028654272556,1.1083056478405309
2016-12-29,116.73,15039519,-2.569373072970338e-4,1.1080208827717126
2016-12-30,115.82,30586265,-0.007795768011650939,1.0993830090175596
